WESD,GHI,PRCP,SNWD,TAVG,DISCHRG_LAG,DISCHRG
599.4,65.26,5.1,1727.0,-2.5,9.01,9.01
604.5,41.38,2.5,1727.0,0.0,9.01,7.53
596.9,16.83,43.2,1702.0,2.1,7.53,7.21
612.1,35.96,10.2,1651.0,0.0,7.21,8.71
622.3,27.04,10.2,1778.0,0.9,8.71,8.26
652.8,27.08,25.4,1930.0,-3.1,8.26,7.55
665.5,35.79,10.2,2007.0,-4.7,7.55,7.15
688.3,24.58,7.6,2083.0,-0.8,7.15,6.75
696.0,22.75,7.6,2007.0,2.2,6.75,7.56
708.7,47.5,10.2,1981.0,1.4,7.56,17.0
708.7,45.54,0.0,1930.0,2.8,17.0,12.93
711.2,74.04,0.0,1930.0,4.2,12.93,9.49
711.2,87.0,0.0,1905.0,5.5,9.49,7.52
713.7,87.75,0.0,1905.0,5.9,7.52,6.34
716.3,61.29,0.0,1880.0,0.5,6.34,5.56
718.8,54.0,0.0,1854.0,0.3,5.56,4.98
731.5,25.04,7.6,1981.0,0.7,4.98,4.71
769.6,32.0,35.6,2134.0,-0.1,4.71,4.91
769.6,31.71,10.2,2032.0,0.1,4.91,6.19
777.2,27.29,7.6,2083.0,-2.0,6.19,5.68
777.2,37.79,2.5,2032.0,-4.0,5.68,5.09
861.1,35.83,83.8,2388.0,-1.3,5.09,4.86
881.4,68.83,17.8,2286.0,1.3,4.86,9.04
881.4,76.62,0.0,2235.0,0.0,9.04,9.12
881.4,70.29,0.0,2159.0,0.2,9.12,7.6
883.9,73.79,0.0,2210.0,5.1,7.6,6.42
883.9,102.0,0.0,2210.0,5.1,6.42,5.63
889.0,87.0,0.0,2210.0,1.5,5.63,5.01
889.0,110.42,0.0,2210.0,1.7,5.01,4.57
891.5,91.08,0.0,2184.0,5.5,4.57,4.21
894.1,96.21,0.0,2184.0,6.5,4.21,3.93
914.4,45.29,17.8,2184.0,2.5,3.93,4.41
909.3,90.42,0.0,2159.0,0.5,4.41,5.73
909.3,43.92,0.0,2159.0,-3.6,5.73,5.15
919.5,49.25,7.6,2261.0,-5.3,5.15,4.67
922.0,58.08,0.0,2210.0,-7.8,4.67,4.16
922.0,95.46,0.0,2184.0,-9.7,4.16,3.81
927.1,119.46,5.1,2210.0,-5.6,3.81,3.53
952.5,62.58,25.4,2464.0,-6.2,3.53,3.41
975.4,57.5,22.9,2718.0,-9.9,3.41,3.37
995.7,40.29,20.3,2870.0,-9.3,3.37,3.15
1066.8,52.62,71.1,3302.0,-4.7,3.15,4.09
1122.7,50.21,55.9,3480.0,-2.6,4.09,8.95
1127.8,103.42,5.1,3327.0,-3.9,8.95,7.19
1145.5,58.62,10.2,3378.0,-2.4,7.19,6.17
1153.2,83.67,2.5,3302.0,-2.8,6.17,6.98
1165.9,101.38,12.7,3404.0,-3.3,6.98,6.5
1170.9,81.0,0.0,3353.0,-5.3,6.5,5.57
1183.6,59.25,2.5,3353.0,-5.6,5.57,4.82
1224.3,89.46,40.6,3607.0,-4.3,4.82,4.61
1242.1,101.79,17.8,3683.0,-4.5,4.61,4.78
1244.6,117.42,0.0,3556.0,-6.7,4.78,4.34
1270.0,58.88,25.4,3708.0,-5.9,4.34,4.11
1272.5,71.58,2.5,3607.0,-4.7,4.11,3.87
1282.7,106.62,7.6,3632.0,-5.5,3.87,3.75
1285.2,127.62,2.5,3556.0,-8.2,3.75,3.57
1303.0,154.0,5.1,3607.0,-10.2,3.57,3.33
1313.2,58.21,0.0,3505.0,-6.8,3.33,3.18
1315.7,156.75,0.0,3429.0,-5.9,3.18,2.99
1319.5,154.96,0.0,3403.5,-5.7,2.99,2.88
1323.3,153.17,0.0,3378.0,-5.5,2.88,2.77
1325.9,182.58,0.0,3353.0,-9.0,2.77,2.7
1331.0,191.12,0.0,3327.0,-9.0,2.7,2.64
1336.0,187.38,2.5,3302.0,-4.0,2.64,2.58
1356.4,100.62,20.3,3404.0,-2.9,2.58,2.59
1364.0,120.5,7.6,3429.0,-5.8,2.59,2.55
1376.7,97.38,12.7,3429.0,-6.5,2.55,2.47
1376.7,181.12,0.0,3429.0,-6.0,2.47,2.39
1379.2,204.67,0.0,3404.0,-3.7,2.39,2.33
1394.5,171.04,15.2,3404.0,-0.5,2.33,2.35
1442.7,148.62,48.3,3734.0,-2.6,2.35,4.09
1447.8,142.5,5.1,3708.0,-2.9,4.09,3.86
1450.3,178.71,0.0,3632.0,-0.8,3.86,3.74
1452.9,202.38,0.0,3581.0,2.3,3.74,3.81
1445.3,200.12,0.0,3505.0,5.3,3.81,4.26
1435.1,219.17,0.0,3429.0,6.5,4.26,4.97
1432.6,233.92,0.0,3353.0,6.9,4.97,5.97
1424.9,231.92,0.0,3277.0,7.9,5.97,7.08
1409.7,232.5,0.0,3226.0,8.3,7.08,8.23
1424.9,198.75,0.0,3150.0,5.2,8.23,8.21
1435.1,185.67,2.5,3124.0,3.2,8.21,7.72
1445.3,166.33,0.0,3073.0,1.3,7.72,7.93
1450.3,141.46,2.5,3073.0,0.4,7.93,6.8
1463.0,127.92,7.6,3099.0,1.8,6.8,6.26
1465.6,217.33,2.5,3073.0,0.6,6.26,7.77
1468.1,152.58,0.0,3048.0,0.9,7.77,6.56
1473.2,181.38,2.5,2997.0,2.3,6.56,5.81
1478.3,159.5,2.5,3023.0,1.8,5.81,5.28
1485.9,214.83,0.0,2997.0,3.4,5.28,4.96
1493.5,202.79,0.0,2972.0,4.5,4.96,4.77
1503.7,226.92,0.0,2921.0,5.6,4.77,4.68
1513.8,192.88,5.1,2870.0,4.8,4.68,4.66
1539.2,155.96,7.6,2845.0,1.8,4.66,5.41
1526.5,173.21,0.0,2819.0,2.6,5.41,5.14
1534.2,133.0,15.2,2845.0,1.2,5.14,5.87
1544.3,115.88,12.7,2946.0,-0.2,5.87,6.74
1546.9,168.96,12.7,2845.0,2.4,6.74,9.71
1569.7,164.58,17.8,2896.0,2.8,9.71,8.91
1582.4,229.12,25.4,2946.0,0.0,8.91,9.37
1625.6,150.25,30.5,3353.0,-0.6,9.37,9.16
1651.0,177.08,33.0,3353.0,0.4,9.16,16.07
1656.1,234.04,12.7,3353.0,1.5,16.07,16.21
1668.8,152.29,15.2,3378.0,-0.4,16.21,13.27
1678.9,196.42,5.1,3378.0,-1.8,13.27,11.73
1678.9,264.71,2.5,3302.0,-0.4,11.73,10.09
1676.4,163.5,5.1,3175.0,1.2,10.09,8.49
1671.3,202.29,0.0,3175.0,2.4,8.49,7.44
1681.5,110.58,2.5,3150.0,6.6,7.44,6.57
1686.6,208.38,5.1,3099.0,4.9,6.57,6.03
1668.8,219.17,2.5,3048.0,2.7,6.03,5.76
1656.1,251.83,2.5,2946.0,3.2,5.76,5.08
1658.6,189.88,7.6,2946.0,4.1,5.08,4.67
1648.5,227.83,0.0,2896.0,4.3,4.67,4.41
1628.1,300.04,0.0,2845.0,3.1,4.41,4.05
1615.4,291.54,0.0,2794.0,6.5,4.05,3.74
1602.7,278.88,0.0,2769.0,3.3,3.74,3.49
1605.3,224.71,7.6,2769.0,-2.1,3.49,3.28
1607.8,271.38,5.1,2769.0,-0.1,3.28,3.14
1605.3,244.54,0.0,2769.0,1.2,3.14,2.99
1602.7,281.88,0.0,2769.0,3.1,2.99,2.83
1595.1,326.62,0.0,2718.0,3.1,2.83,2.72
1590.0,157.92,0.0,2718.0,0.5,2.72,2.61
1585.0,279.67,0.0,2692.0,4.2,2.61,2.52
1577.3,313.38,0.0,2667.0,6.7,2.52,2.45
1562.1,293.25,0.0,2616.0,7.3,2.45,2.37
1544.3,311.21,0.0,2565.0,9.7,2.37,2.28
1524.0,323.71,0.0,2489.0,9.0,2.28,2.2
1501.1,263.79,0.0,2413.0,9.8,2.2,2.12
1478.3,307.88,0.0,2337.0,11.3,2.12,2.04
1440.2,336.92,0.0,2286.0,12.8,2.04,1.97
1407.2,327.88,0.0,2210.0,13.3,1.97,1.92
1371.6,326.42,0.0,2159.0,9.0,1.92,1.86
1338.6,307.12,0.0,2108.0,7.7,1.86,1.82
1328.4,193.46,7.6,2083.0,4.7,1.82,1.85
1308.1,218.96,2.5,2057.0,5.2,1.85,1.91
1295.4,145.54,10.2,1981.0,6.2,1.91,1.87
1267.5,204.58,7.6,1930.0,3.1,1.87,2.05
1226.8,294.29,0.0,1905.0,6.1,2.05,1.83
1196.3,179.17,5.1,1829.0,5.8,1.83,1.88
1183.6,169.71,17.8,1778.0,3.4,1.88,1.83
1173.5,166.75,7.6,1803.0,3.5,1.83,1.78
1148.1,224.88,0.0,1778.0,6.7,1.78,1.69
1115.1,298.17,0.0,1702.0,10.6,1.69,1.63
1092.2,218.33,2.5,1651.0,3.9,1.63,1.6
1084.6,158.5,0.0,1651.0,3.3,1.6,1.63
1049.0,205.46,0.0,1600.0,8.1,1.63,1.67
1005.8,219.88,0.0,1372.0,9.3,1.67,1.55
967.7,300.58,0.0,1397.0,8.8,1.55,1.48
927.1,294.79,0.0,1321.0,8.9,1.48,1.45
881.4,279.46,0.0,1295.0,11.5,1.45,1.4
838.2,331.96,0.0,1194.0,13.8,1.4,1.36
792.5,357.67,0.0,1067.0,12.2,1.36,1.32
741.7,334.54,0.0,991.0,11.6,1.32,1.29
711.2,320.0,0.0,864.0,6.8,1.29,1.24
675.6,362.08,0.0,838.0,8.2,1.24,1.21
655.3,229.46,5.1,762.0,6.8,1.21,1.21
640.1,220.38,7.6,737.0,2.2,1.21,1.26
665.5,255.58,22.9,864.0,1.1,1.26,1.5
668.0,244.08,0.0,813.0,3.7,1.5,1.67
650.2,347.04,0.0,787.0,9.1,1.67,1.34
619.8,323.79,0.0,660.0,12.5,1.34,1.23
563.9,353.5,0.0,584.0,16.4,1.23,1.18
508.0,325.21,0.0,432.0,17.5,1.18,1.14
457.2,355.42,0.0,406.0,13.9,1.14,1.09
431.8,264.88,0.0,152.0,6.1,1.09,1.08
388.6,367.96,0.0,203.0,10.1,1.08,1.07
340.4,342.12,0.0,127.0,11.4,1.07,1.05
287.0,310.21,0.0,102.0,11.2,1.05,1.02
261.6,195.38,7.6,0.0,7.5,1.02,1.0
236.2,227.67,0.0,0.0,3.5,1.0,0.99
231.1,258.33,12.7,0.0,3.2,0.99,0.98
210.8,160.62,5.1,0.0,4.5,0.98,0.96
185.4,190.17,0.0,0.0,6.6,0.96,0.94
165.1,198.83,7.6,0.0,5.3,0.94,0.94
111.8,288.5,0.0,0.0,5.5,0.94,0.93
68.6,304.92,0.0,0.0,7.6,0.93,0.91
43.2,230.25,5.1,0.0,7.1,0.91,0.91
35.6,193.08,5.1,0.0,5.0,0.91,0.96
10.2,263.54,0.0,0.0,6.6,0.96,0.93
0.0,327.75,0.0,0.0,9.4,0.93,0.86
0.0,347.71,0.0,0.0,11.5,0.86,0.83
0.0,322.33,0.0,0.0,11.6,0.83,0.81
0.0,135.75,7.6,0.0,6.2,0.81,0.84
0.0,339.5,0.0,0.0,7.6,0.84,0.94
0.0,294.54,0.0,0.0,9.0,0.94,0.85
0.0,278.25,0.0,0.0,10.2,0.85,0.81
0.0,114.96,5.1,0.0,7.3,0.81,0.79
0.0,134.25,0.0,0.0,6.6,0.79,0.78
0.0,259.96,0.0,0.0,9.1,0.78,0.77
0.0,298.46,2.5,0.0,11.5,0.77,0.75
0.0,181.04,2.5,0.0,10.7,0.75,0.92
0.0,200.75,0.0,0.0,9.7,0.92,1.02
0.0,266.17,0.0,0.0,10.8,1.02,0.81
0.0,280.62,0.0,0.0,10.9,0.81,0.75
0.0,325.75,0.0,0.0,11.8,0.75,0.71
0.0,188.92,25.4,0.0,9.5,0.71,0.78
0.0,240.08,2.5,0.0,10.1,0.78,0.91
0.0,147.21,25.4,0.0,8.7,0.91,0.78
0.0,257.83,0.0,0.0,6.7,0.78,1.07
0.0,305.92,0.0,0.0,7.2,1.07,0.8
0.0,356.71,0.0,0.0,12.9,0.8,0.73
0.0,353.75,0.0,0.0,16.6,0.73,0.69
0.0,342.58,0.0,0.0,15.4,0.69,0.66
0.0,295.5,0.0,0.0,11.0,0.66,0.65
0.0,290.5,0.0,0.0,8.9,0.65,0.64
0.0,350.17,0.0,0.0,14.8,0.64,0.61
0.0,350.71,0.0,0.0,16.5,0.61,0.61
0.0,261.83,0.0,0.0,10.3,0.61,0.6
0.0,345.58,0.0,0.0,11.8,0.6,0.6
0.0,340.83,0.0,0.0,13.1,0.6,0.58
0.0,338.0,0.0,0.0,10.9,0.58,0.57
0.0,336.71,0.0,0.0,12.5,0.57,0.56
0.0,335.54,0.0,0.0,14.9,0.56,0.55
0.0,225.88,0.0,0.0,12.3,0.55,0.65
0.0,332.25,0.0,0.0,13.2,0.65,0.61
0.0,328.62,0.0,0.0,17.5,0.61,0.55
0.0,326.12,0.0,0.0,18.8,0.55,0.53
0.0,324.58,0.0,0.0,19.4,0.53,0.53
0.0,323.21,0.0,0.0,17.9,0.53,0.52
0.0,288.75,0.0,0.0,12.4,0.52,0.53
0.0,255.54,12.7,0.0,12.7,0.53,0.54
0.0,201.21,0.0,0.0,10.9,0.54,0.77
0.0,183.21,5.1,0.0,8.4,0.77,0.61
0.0,313.04,0.0,0.0,10.4,0.61,0.57
0.0,312.92,0.0,0.0,13.9,0.57,0.53
0.0,282.25,0.0,0.0,13.7,0.53,0.51
0.0,283.62,0.0,0.0,12.2,0.51,0.5
0.0,265.17,0.0,0.0,8.8,0.5,0.5
0.0,201.88,0.0,0.0,8.6,0.5,0.51
0.0,292.21,0.0,0.0,11.5,0.51,0.5
0.0,299.04,0.0,0.0,12.1,0.5,0.5
0.0,270.54,0.0,0.0,16.0,0.5,0.48
0.0,135.46,5.1,0.0,11.1,0.48,0.48
0.0,271.42,10.2,0.0,8.6,0.48,0.54
0.0,263.5,0.0,0.0,12.8,0.54,0.51
0.0,222.04,0.0,0.0,10.2,0.51,0.48
0.0,137.5,0.0,0.0,8.4,0.48,0.47
0.0,292.71,0.0,0.0,12.3,0.47,0.46
0.0,291.25,0.0,0.0,17.5,0.46,0.45
0.0,288.25,0.0,0.0,18.9,0.45,0.45
0.0,150.58,2.5,0.0,14.0,0.45,0.45
0.0,254.71,2.5,0.0,13.1,0.45,0.5
0.0,227.96,0.0,0.0,13.5,0.5,0.48
0.0,254.12,0.0,0.0,12.6,0.48,0.46
0.0,271.88,0.0,0.0,12.4,0.46,0.44
0.0,241.62,0.0,0.0,13.7,0.44,0.44
0.0,270.67,0.0,0.0,12.4,0.44,0.44
0.0,215.12,0.0,0.0,17.8,0.44,0.44
0.0,200.83,0.0,0.0,15.0,0.44,0.44
0.0,187.46,2.5,0.0,14.2,0.44,0.45
0.0,165.21,7.6,0.0,8.1,0.45,0.54
0.0,149.88,27.9,0.0,7.3,0.54,0.81
0.0,175.04,7.6,0.0,7.2,0.81,0.96
0.0,207.46,0.0,0.0,8.1,0.96,0.64
0.0,239.5,2.5,0.0,11.4,0.64,0.55
0.0,138.71,7.6,0.0,8.3,0.55,1.04
0.0,124.62,0.0,0.0,8.8,1.04,0.7
0.0,120.62,25.4,0.0,6.6,0.7,1.48
0.0,136.08,5.1,0.0,5.3,1.48,1.45
0.0,104.29,35.6,0.0,5.1,1.45,1.3
0.0,153.96,5.1,0.0,5.4,1.3,2.38
0.0,123.38,0.0,0.0,6.1,2.38,1.62
0.0,68.92,0.0,0.0,6.6,1.62,1.26
0.0,173.0,0.0,0.0,8.2,1.26,1.07
0.0,124.25,20.3,0.0,7.7,1.07,1.07
0.0,101.33,10.2,0.0,5.2,1.07,1.09
0.0,207.71,2.5,0.0,8.0,1.09,0.98
0.0,190.79,0.0,0.0,7.6,0.98,0.92
0.0,126.12,15.2,0.0,8.1,0.92,0.92
0.0,138.08,2.5,0.0,2.2,0.92,0.89
5.1,150.25,0.0,25.0,0.1,0.89,0.89
0.0,143.5,7.6,0.0,-1.2,0.89,0.9
0.0,132.75,0.0,0.0,-0.9,0.9,0.83
0.0,166.0,0.0,0.0,1.5,0.83,0.77
2.5,171.04,2.5,0.0,4.2,0.77,0.74
5.1,121.62,7.6,51.0,2.1,0.74,0.73
5.1,104.08,10.2,25.0,1.7,0.73,0.78
5.1,81.5,0.0,25.0,2.6,0.78,0.87
2.5,178.21,0.0,25.0,6.7,0.87,0.78
0.0,45.92,22.9,0.0,6.7,0.78,0.78
12.7,87.79,15.2,127.0,-0.9,0.78,1.57
10.2,88.75,2.5,76.0,-1.8,1.57,1.66
10.2,182.88,0.0,51.0,1.5,1.66,1.36
10.2,167.88,0.0,25.0,4.9,1.36,1.19
5.1,119.33,0.0,25.0,7.2,1.19,1.06
0.0,58.67,0.0,0.0,3.2,1.06,0.97
0.0,158.25,0.0,0.0,4.4,0.97,0.9
0.0,46.83,0.0,0.0,7.6,0.9,0.85
0.0,47.33,22.9,0.0,5.3,0.85,1.02
20.3,54.62,20.3,51.0,1.6,1.02,1.86
58.4,60.67,35.6,178.0,0.5,1.86,4.44
99.1,101.17,53.3,305.0,0.1,4.44,13.62
104.1,48.79,12.7,279.0,0.5,13.62,6.65
104.1,31.38,33.0,229.0,3.7,6.65,4.27
91.4,118.29,20.3,76.0,4.3,4.27,5.37
96.5,127.58,0.0,76.0,4.1,5.37,4.37
91.4,141.0,0.0,0.0,8.1,4.37,3.44
86.4,64.71,2.5,0.0,4.7,3.44,2.9
86.4,82.38,2.5,0.0,-0.5,2.9,2.5
83.8,140.79,0.0,0.0,-0.5,2.5,2.21
88.9,126.0,0.0,0.0,-1.4,2.21,2.01
154.9,143.25,0.0,0.0,-5.0,2.01,1.82
142.2,134.5,0.0,0.0,3.2,1.82,1.69
147.3,97.83,0.0,0.0,3.2,1.69,1.61
116.8,124.79,0.0,0.0,5.8,1.61,1.52
99.1,123.92,0.0,0.0,8.0,1.52,1.46
88.9,79.04,0.0,0.0,6.8,1.46,1.39
81.3,104.75,0.0,0.0,7.5,1.39,1.32
81.3,121.54,0.0,0.0,8.2,1.32,1.27
76.2,102.92,0.0,0.0,5.8,1.27,1.22
76.2,89.92,0.0,0.0,10.0,1.22,1.17
73.7,82.04,0.0,0.0,10.0,1.17,1.13
76.2,26.96,15.2,0.0,5.3,1.13,1.14
66.0,66.25,2.5,0.0,5.0,1.14,1.13
58.4,68.21,0.0,0.0,5.2,1.13,1.08
53.3,42.33,5.1,0.0,4.8,1.08,1.07
45.7,97.79,0.0,0.0,4.7,1.07,1.04
43.2,74.33,0.0,0.0,7.7,1.04,1.02
43.2,27.12,20.3,0.0,3.3,1.02,1.31
43.2,34.33,7.6,0.0,2.4,1.31,1.32
33.0,49.42,27.9,0.0,5.0,1.32,1.3
33.0,22.04,17.8,0.0,4.4,1.3,1.43
43.2,57.5,15.2,0.0,1.0,1.43,2.79
63.5,98.5,0.0,25.38,0.5,2.79,2.35
114.3,95.88,0.0,50.77,5.1,2.35,2.04
172.7,94.33,0.0,76.15,2.3,2.04,1.8
134.6,54.42,0.0,101.54,1.7,1.8,1.66
91.4,67.54,12.7,126.92,-0.4,1.66,1.67
88.9,67.96,17.8,152.31,-2.7,1.67,1.71
88.9,40.25,0.0,177.69,-5.5,1.71,1.61
86.4,69.58,0.0,203.08,-5.8,1.61,1.55
91.4,73.83,0.0,228.46,-6.2,1.55,1.47
127.0,86.96,0.0,253.85,-4.9,1.47,1.4
165.1,88.71,5.1,279.23,-4.3,1.4,1.36
170.2,35.33,10.2,304.62,-1.9,1.36,1.33
144.8,57.83,2.5,330.0,1.6,1.33,1.28
129.5,40.25,2.5,355.38,2.4,1.28,1.24
119.4,42.17,5.1,380.77,3.1,1.24,1.23
104.1,48.54,0.0,406.15,3.3,1.23,1.18
96.5,44.92,0.0,431.54,4.4,1.18,1.15
106.7,37.38,10.2,456.92,1.4,1.15,1.47
109.2,63.62,7.6,482.31,0.5,1.47,1.33
101.6,77.0,2.5,507.69,1.3,1.33,1.25
116.8,32.0,7.6,533.08,1.7,1.25,1.25
127.0,21.29,7.6,558.46,0.7,1.25,1.51
167.6,20.17,20.3,583.85,-0.5,1.51,4.8
185.4,26.21,45.7,609.23,-1.7,4.8,8.39
193.0,27.0,10.2,634.62,-2.6,8.39,5.51
193.0,23.83,0.0,660.0,-4.1,5.51,4.17
193.0,42.38,2.5,610.0,-2.0,4.17,3.38
193.0,31.71,0.0,610.0,1.2,3.38,2.96
203.2,36.33,10.2,648.0,-0.4,2.96,2.67
228.6,19.29,53.3,686.0,0.1,2.67,4.41
215.9,21.25,81.3,686.0,2.4,4.41,45.98
226.1,27.08,17.8,686.0,0.3,45.98,41.81
233.7,25.0,5.1,686.0,-0.5,41.81,22.01
243.8,28.75,5.1,686.0,-3.5,22.01,13.24
248.9,58.0,0.0,686.0,-5.5,13.24,9.5
251.5,61.62,2.5,686.0,-3.5,9.5,7.44
259.1,62.33,2.5,673.25,-4.3,7.44,6.1
266.7,48.58,7.6,660.5,-2.4,6.1,5.32
269.2,39.5,0.0,647.75,0.1,5.32,4.73
269.2,71.25,0.0,635.0,2.3,4.73,4.32
271.8,29.29,2.5,711.0,0.4,4.32,3.95
330.2,18.75,91.4,737.0,1.3,3.95,4.93
345.4,41.96,27.9,813.0,0.3,4.93,11.3
365.8,31.29,7.6,889.0,-1.5,11.3,10.67
383.5,42.38,30.5,1244.67,2.8,10.67,10.73
426.7,31.5,25.4,1600.33,-3.0,10.73,13.0
467.4,28.71,25.4,1956.0,-2.9,13.0,12.22
599.4,19.83,114.3,2007.0,-0.4,12.22,41.59
